Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
0,0.08774231,0.076838456,0.05400769,0.29941154,0.18294232,0.08774231
1,0.090165384,0.081980765,0.058853842,0.3039077,0.20383462,0.100530766
2,0.08456538,0.07261153,0.04431538,0.30921155,0.15208846,0.06991923
3,0.08876538,0.079126924,0.055299997,0.29868463,0.19185385,0.093665384
4,0.08879231,0.07950384,0.05548846,0.30568463,0.19877309,0.09608846
5,0.088630766,0.078373075,0.055649996,0.28107694,0.20668846,0.10050385
6,0.08698846,0.07371538,0.05085769,0.26473463,0.18843462,0.092238456
7,0.08343461,0.07037692,0.041865382,0.33115384,0.14018846,0.058880765
8,0.08628846,0.072799996,0.049403843,0.2895577,0.1656577,0.07597692
9,0.08965384,0.07920769,0.05815384,0.29373077,0.20205769,0.0987
10,0.08935769,0.08103846,0.05750769,0.31295386,0.20967692,0.099992305
11,0.08828077,0.08015,0.054653842,0.30482307,0.2051,0.09765
12,0.08712307,0.07866923,0.05244615,0.3137077,0.19731924,0.094661534
13,0.08795769,0.078911535,0.05438461,0.30234617,0.1904,0.08986923
14,0.083730765,0.071399994,0.041730765,0.35519615,0.15020384,0.06273077
15,0.08488846,0.070619226,0.046038456,0.2973654,0.1484,0.06792692
16,0.089492306,0.07834615,0.05831538,0.30431154,0.20337692,0.09557692
17,0.090703845,0.08249231,0.06046923,0.3224846,0.21893847,0.103034616
18,0.09024615,0.08216923,0.05871923,0.32585,0.2165423,0.10176923
19,0.08954615,0.08079615,0.056484614,0.32334617,0.20962308,0.09751538
20,0.08868461,0.079773076,0.05516538,0.31354615,0.19804616,0.09269615
21,0.08903461,0.08117308,0.056080766,0.3168846,0.1999577,0.0945
22,0.09008461,0.08222307,0.057965383,0.32259232,0.20596154,0.098
23,0.089519225,0.08214231,0.05718461,0.33605385,0.20232692,0.093773074
24,0.08391923,0.073661536,0.041219227,0.38704616,0.15811923,0.063861534
25,0.083192304,0.07059231,0.042269226,0.33058846,0.14675769,0.062353842
26,0.08658461,0.074119225,0.05061538,0.31187692,0.17831154,0.082088456
27,0.09008461,0.079234615,0.05871923,0.31198463,0.2076577,0.09816153
28,0.089949995,0.08225,0.059553843,0.32208076,0.21632692,0.10322308
29,0.09021923,0.08106538,0.059311535,0.3197654,0.22031154,0.10486538
30,0.08935769,0.07961153,0.057453845,0.3232654,0.21148077,0.09886154
31,0.089411534,0.081199996,0.05839615,0.32329232,0.20550385,0.09713846
32,0.09024615,0.08130769,0.05936538,0.32014233,0.2076577,0.09643846
33,0.09021923,0.08176538,0.059473075,0.31788078,0.20523462,0.096384615
34,0.08930384,0.08149615,0.057103842,0.34281155,0.20211154,0.09396154
35,0.08922307,0.08276153,0.056699995,0.36206156,0.20531538,0.093423076
36,0.08365,0.07374231,0.039899997,0.3973308,0.15925,0.06442692
37,0.08375769,0.07336538,0.041326918,0.37544233,0.14971922,0.061492305
38,0.083299994,0.070403844,0.041730765,0.31780002,0.13189615,0.05777692
39,0.086799994,0.073149994,0.049403843,0.27954233,0.1460577,0.06846538
40,0.08930384,0.07643461,0.05723846,0.29418847,0.18310384,0.08521154
41,0.091242306,0.08047307,0.061142303,0.3161577,0.21689232,0.10139231
42,0.090273075,0.081549995,0.059553843,0.32843462,0.2121,0.10061154
43,0.090273075,0.080769226,0.05882692,0.3088346,0.1955423,0.093315385
44,0.09301923,0.082734615,0.06299999,0.29855,0.19058846,0.09135
45,0.092453845,0.0826,0.06267692,0.29526538,0.19029231,0.0896
46,0.08919615,0.07928846,0.056699995,0.31271154,0.18660384,0.086449996
47,0.08968077,0.080984615,0.05815384,0.33311924,0.20725384,0.09501154
48,0.08970769,0.08297692,0.05815384,0.3516423,0.21215385,0.097246155
49,0.08935769,0.08303077,0.058638457,0.36179233,0.21043077,0.09619615
50,0.08496923,0.073580764,0.045634612,0.36149615,0.15997693,0.0686
