Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
0,0.08793077,0.07815769,0.052957688,0.29682693,0.19136924,0.08997692
1,0.091699995,0.08149615,0.060092304,0.28191155,0.23118846,0.11105769
2,0.09067692,0.0819,0.059392303,0.30931923,0.21772693,0.10378846
3,0.09021923,0.081523076,0.05788461,0.29828078,0.21444231,0.10405769
4,0.08986923,0.08297692,0.05626923,0.32240385,0.20068462,0.0931
5,0.09283077,0.07853461,0.062165383,0.24556538,0.22927693,0.119215384
6,0.092346154,0.080661535,0.06313461,0.2623654,0.22230385,0.11471923
7,0.094311535,0.08356923,0.066553846,0.26766923,0.23342308,0.12045384
8,0.09495769,0.08222307,0.06868076,0.24712692,0.23721923,0.12511154
9,0.09253462,0.07982692,0.06345769,0.25135386,0.22394615,0.116038464
10,0.09089231,0.07856154,0.056753844,0.28403845,0.19982308,0.09716538
11,0.088523075,0.07853461,0.053711534,0.3028577,0.1825923,0.08596538
12,0.09005769,0.08122692,0.058180764,0.29706922,0.19616154,0.09479615
13,0.090596154,0.08036538,0.057938457,0.2965577,0.20243461,0.095496155
14,0.09005769,0.07988077,0.05543461,0.30126923,0.19465385,0.08916923
15,0.088846155,0.08117308,0.053011537,0.31529617,0.18867692,0.08674615
16,0.0903,0.06795384,0.059553843,0.1556423,0.25824615,0.14137308
17,0.092238456,0.07177692,0.066580765,0.15758076,0.29416156,0.16188847
18,0.09272307,0.073903844,0.06819615,0.16363846,0.28694615,0.15725769
19,0.09732692,0.08001538,0.07665,0.19616154,0.27795386,0.14963846
20,0.101176925,0.08478077,0.08424231,0.22198077,0.28635386,0.15954615
21,0.09810769,0.084134616,0.076165386,0.24963078,0.2658654,0.1456
22,0.100099996,0.08760769,0.07985384,0.25894615,0.27125,0.14533077
23,0.10082692,0.089492306,0.07955769,0.26217693,0.26392692,0.14228846
24,0.09756923,0.08526538,0.074549995,0.25601155,0.25181153,0.13399616
25,0.09353077,0.08093077,0.06413077,0.25913462,0.23503846,0.12112692
26,0.09199615,0.080661535,0.062434614,0.2706577,0.22001539,0.11181153
27,0.08976153,0.0805,0.05691538,0.3033154,0.19729231,0.09546923
28,0.089734614,0.08095769,0.05855769,0.3014577,0.1981,0.095065385
29,0.0896,0.08114615,0.059203845,0.2948346,0.20192307,0.09668077
30,0.088846155,0.08031154,0.053361535,0.30773076,0.19153076,0.088953845
31,0.08908846,0.08303077,0.05384615,0.32415384,0.19013077,0.08593846
32,0.08642308,0.06881538,0.048999995,0.22365001,0.15822692,0.07877692
33,0.08728461,0.06749615,0.05069615,0.15857692,0.14578846,0.07823846
34,0.08435,0.057992306,0.041299995,0.060173072,0.040492304,0.020003842
35,0.08440384,0.058423072,0.04315769,0.04237692,0.02172692,0.012492303
36,0.08531923,0.06273077,0.048784614,0.07175,0.063942306,0.03871538
37,0.089411534,0.06838461,0.05734615,0.15211539,0.18283461,0.10354615
38,0.08946538,0.06854615,0.05995769,0.15685384,0.2660269,0.14764616
39,0.089411534,0.06849231,0.060657687,0.15631539,0.26906922,0.15157692
40,0.08978846,0.06978461,0.061842304,0.16175385,0.2627423,0.14942308
41,0.09428462,0.076165386,0.070484616,0.19018462,0.26678076,0.14982693
