Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
0,0.08381154,0.0698923,0.038661536,0.40578464,0.14791538,0.060819227
1,0.08461923,0.074334614,0.041838456,0.3936154,0.14858846,0.062192306
2,0.08475384,0.07659615,0.045392305,0.36241156,0.14315,0.061923075
3,0.08332692,0.07158846,0.04003461,0.3678231,0.14487308,0.06041538
4,0.082734615,0.06765769,0.03637307,0.38459617,0.14406538,0.057211537
5,0.08313846,0.06967692,0.037692305,0.39558077,0.14726923,0.059338458
6,0.08340769,0.07043076,0.038661536,0.38015386,0.14926153,0.060388457
7,0.08375769,0.07064615,0.03887692,0.38470384,0.1492077,0.06014615
8,0.08332692,0.06913846,0.03763846,0.38292694,0.1456,0.05804615
9,0.08343461,0.06948846,0.03790769,0.39027694,0.14541154,0.05831538
10,0.08276153,0.06798077,0.03747692,0.39100385,0.14476538,0.057965383
11,0.08402692,0.071480766,0.038338456,0.42565385,0.15165769,0.06270384
12,0.083192304,0.06986538,0.039630767,0.3718077,0.14245,0.06033461
13,0.08429615,0.07207307,0.04248461,0.35818464,0.1414,0.061196152
14,0.083623074,0.069623075,0.038769227,0.3869923,0.14802308,0.06092692
15,0.08356923,0.07026923,0.038499996,0.3974654,0.14971922,0.059769228
16,0.08265384,0.06781923,0.03693846,0.38023463,0.14331155,0.05718461
17,0.08321923,0.06905769,0.037799995,0.37175384,0.14013462,0.056080766
18,0.082842305,0.068330765,0.037019227,0.38599616,0.14430769,0.057561535
19,0.08292308,0.06803461,0.036992304,0.39474615,0.14562692,0.058638457
20,0.0835423,0.06851923,0.03763846,0.3928077,0.14554615,0.05855769
21,0.08249231,0.06862692,0.037826918,0.40333462,0.15015,0.059715383
22,0.083192304,0.07013461,0.038042303,0.41685,0.15386538,0.06181538
23,0.083730765,0.07363461,0.039253842,0.43286926,0.15871154,0.066123076
24,0.08394615,0.0712923,0.03868846,0.39515,0.14958462,0.061465383
25,0.08249231,0.06663461,0.036211535,0.36986923,0.14105,0.056080766
26,0.08246538,0.06652692,0.03661538,0.36639616,0.14215384,0.057749998
27,0.08375769,0.068734616,0.038607687,0.37350386,0.14823847,0.060765382
28,0.08254615,0.06534231,0.036723074,0.3467154,0.1352077,0.05298461
29,0.08391923,0.06970384,0.039038457,0.35702693,0.12594615,0.050292306
30,0.08389231,0.06994615,0.039199997,0.35236925,0.12906922,0.054599997
31,0.08117308,0.06278461,0.03451538,0.34916538,0.11663077,0.04735769
32,0.083192304,0.06806154,0.037099995,0.40206924,0.14632693,0.058907688
33,0.083299994,0.070188455,0.037611533,0.39587694,0.14837308,0.059849996
34,0.08351538,0.07134615,0.03895769,0.3870731,0.1475923,0.060253844
35,0.08346154,0.07059231,0.039173074,0.37958848,0.14525,0.061303843
36,0.083165385,0.06924615,0.037826918,0.38669616,0.14411923,0.059473075
37,0.08348846,0.06803461,0.037692305,0.3837077,0.14726923,0.05909615
38,0.08324615,0.0681423,0.037503842,0.39401925,0.14826539,0.058692306
39,0.082949996,0.069730766,0.03758461,0.4009654,0.14834616,0.05882692
40,0.08343461,0.06913846,0.037665382,0.4064577,0.1507423,0.059715383
41,0.084269226,0.0695423,0.038634613,0.39305001,0.14907308,0.060953844
42,0.084269226,0.07234231,0.039684612,0.41652694,0.15491538,0.06378077
43,0.083299994,0.07096923,0.037799995,0.4138077,0.15303077,0.06205769
44,0.082949996,0.07096923,0.038634613,0.40021154,0.15095769,0.061142303
45,0.08289615,0.07,0.038311534,0.39092308,0.15098462,0.061142303
46,0.08335385,0.06868076,0.037880763,0.36855,0.14339231,0.056834612
47,0.082842305,0.067469224,0.037369225,0.36483464,0.14503461,0.058638457
48,0.08365,0.06838461,0.038149998,0.35912693,0.1456,0.060119227
49,0.083165385,0.06625769,0.03731538,0.36984232,0.14339231,0.05804615
50,0.084053844,0.070511535,0.039038457,0.38855386,0.14533077,0.05909615
51,0.084053844,0.07156154,0.04062692,0.31960386,0.11617307,0.04980769
52,0.083596155,0.07045769,0.039173074,0.37958848,0.13437308,0.05427692
53,0.08303077,0.07145385,0.03809615,0.38139233,0.14048462,0.058073074
54,0.08432307,0.07376923,0.039199997,0.39318463,0.14761923,0.0602
55,0.09455384,0.08685385,0.06703846,0.2368154,0.079692304,0.032280765
56,0.10279231,0.092776924,0.08986923,0.056511536,0.011549995,0.00538461
57,0.10308846,0.094311535,0.09231923,0.04544615,0.004226918,0.0020192254
58,0.098134615,0.08478077,0.07807692,0.061761536,0.010446149,0.0054653795
59,0.089949995,0.07525,0.05497692,0.16091923,0.06547692,0.030773073
60,0.085561536,0.07592308,0.04380384,0.30557692,0.11948461,0.051773075
61,0.085049994,0.07449615,0.04232307,0.3388,0.13168077,0.056942303
62,0.0852923,0.07603077,0.04140769,0.39146155,0.14799616,0.06332307
63,0.08052692,0.059419226,0.033303842,0.34267694,0.10763846,0.040653843
64,0.08243846,0.065719225,0.03637307,0.39463848,0.13660769,0.053199995
65,0.08351538,0.06862692,0.037180766,0.41009232,0.14901923,0.061061535
66,0.0835423,0.069515385,0.03763846,0.39345387,0.14624615,0.058692306
67,0.08311154,0.06921923,0.03785384,0.37579232,0.14336538,0.05699615
68,0.082842305,0.067873076,0.037719227,0.3903308,0.14597692,0.058261536
69,0.083299994,0.068869226,0.037773073,0.3999423,0.15103847,0.06100769
70,0.0835423,0.069623075,0.03790769,0.40007693,0.14939615,0.060011536
71,0.08305769,0.06994615,0.037773073,0.39668462,0.14554615,0.059311535
72,0.08308461,0.06986538,0.037692305,0.3965231,0.14686538,0.059930768
